# FeHinit Minit FeH sigma_FeH FeH_low FeH_high sigma_FeH_low sigma_FeH_high
-6.0 3.977479 -6.0 0.0 -6.0 -6.0 0.0 0.0
-6.0 4.026254000000001 -6.0 0.0 -6.0 -6.0 0.0 0.0
-6.0 4.076192 -5.999989 1.5e-05 -6.0 -6.0 0.0 0.0
-6.0 4.12716 -5.999523 0.0005839999999999999 -6.0 -6.0 0.0 0.0
-6.0 4.176555 -5.997983 0.002354 -6.0 -6.0 0.0 0.0
-6.0 4.226581 -5.995144999999999 0.007977999999999999 -6.0 -6.0 0.0 0.0
-6.0 4.2770019999999995 -5.962365 0.04797799999999999 -6.0 -5.999164 0.0 0.0015359999999999844
-6.0 4.326423 -5.981886 0.033308 -6.0 -5.999884 0.0 0.0002
-6.0 4.376203999999999 -5.978263999999999 0.036892 -6.0 -5.9999 0.0 0.0001
-6.0 4.427269 -5.934413999999999 0.09175599999999999 -6.0 -5.9639679999999995 0.0 0.055959999999999954
-6.0 4.476028 -5.930517000000001 0.11295300000000001 -6.0 -5.958748 0.0 0.05358799999999999
-6.0 4.526928 -5.914066 0.12180400000000001 -6.0 -5.902172 0.0 0.21986399999999973
-6.0 4.576662 -5.8500700000000005 0.21872 -6.0 -5.644024 0.0 0.691804
-6.0 4.626856 -5.846768000000001 0.2509060000000001 -6.0 -5.579148 0.0 0.7815879999999998
-6.0 4.67789 -5.7693579999999995 0.35843400000000003 -6.0 -5.480936000000001 0.0 0.9089160000000001
-6.0 4.726669 -5.810868 0.32120200000000004 -6.0 -5.535819999999999 0.0 0.9446319999999999
-6.0 4.777556999999999 -5.708712000000002 0.45819499999999996 -6.0 -5.295736000000001 0.0 1.071968
-6.0 4.8271239999999995 -5.677560000000001 0.4808050000000001 -6.0 -5.278112 0.0 1.0748039999999999
-6.0 4.876807 -5.628101 0.5827450000000001 -5.9999 -5.2543880000000005 0.000184 1.072056
-6.0 4.9276800000000005 -5.524284999999999 0.6625710000000001 -5.9929760000000005 -5.082088 0.013923999999999999 1.161692
-6.0 4.976927000000001 -5.4832860000000005 0.7173129999999999 -5.997116 -4.9903640000000005 0.004096 1.251224
-6.0 5.027190999999999 -5.281036 0.900593 -5.708124000000001 -4.856704000000001 0.490064 1.2658519999999998
-6.0 5.077383 -5.318009000000001 0.8940769999999999 -5.724544000000001 -4.863804 0.539204 1.2937880000000002
-6.0 5.126765000000001 -5.131429 1.020363 -5.632824 -4.650148 0.65224 1.337288
-6.0 5.177212000000001 -4.988722 1.136779 -5.396516 -4.637812 0.9371360000000001 1.365348
-6.0 5.227098 -4.879294000000001 1.175007 -5.282336 -4.4993360000000004 0.9794039999999999 1.38578
-6.0 5.276949999999999 -4.718063000000001 1.217368 -5.136615999999999 -4.298176 1.038088 1.403876
-6.0 5.327224999999999 -4.556625 1.2640470000000001 -4.936332 -4.1623 1.12638 1.4302359999999998
-6.0 5.376912 -4.394259 1.27867 -4.769264 -3.951992 1.118596 1.453396
-6.0 5.427 -4.233245 1.2820840000000002 -4.663632 -3.8200800000000004 1.143152 1.4415559999999998
-6.0 5.477193 -4.162192 1.3055980000000003 -4.479176 -3.847316 1.16188 1.4420199999999999
-6.0 5.526983 -4.023967 1.3124539999999998 -4.3176440000000005 -3.6675880000000003 1.175296 1.4661959999999998
-6.0 5.577560000000001 -3.846209 1.2788910000000002 -4.12232 -3.5118679999999998 1.14066 1.4359000000000002
-6.0 5.627102999999998 -3.6231909999999994 1.243646 -3.8729240000000003 -3.3109040000000003 1.067116 1.419252
-6.0 5.677234000000001 -3.5551130000000004 1.219136 -3.780212 -3.2759720000000003 1.05496 1.378584
-6.0 5.727193 -3.424587 1.183872 -3.739032 -3.133472 0.963276 1.387916
-6.0 5.776966 -3.2449269999999997 1.1202969999999999 -3.484144 -3.0462480000000003 0.930172 1.301636
-6.0 5.827374 -3.1063650000000003 1.0726040000000001 -3.310364 -2.9092919999999998 0.871576 1.3093759999999999
