# FeHinit FeH sigma_FeH
-6.0 -6.000102258520713 0.0001075073876375548
-6.0 -5.998954133099001 0.0029290095628114153
-6.0 -5.976935590669849 0.05560498230128326
-6.0 -5.980920970843568 0.039050016012283154
-6.0 -5.94223622240075 0.1208890602173331
-6.0 -5.898273643929426 0.243847487019275
-6.0 -5.832145642908247 0.3904994998919731
-6.0 -5.778915759226363 0.5168325114186304
-6.0 -5.722377842163461 0.6622443727242969
-6.0 -5.639266616278201 0.8767189747798761
-6.0 -5.473813385993066 1.0886952414232658
-6.0 -5.091604775493948 1.3045213540464982
-6.0 -4.775346469400965 1.4249555986987843
-6.0 -4.406382813218889 1.496034235666927
-6.0 -4.18794904533945 1.483088383093497
-6.0 -3.8188267914505656 1.4383801875015731
-6.0 -3.5084612279725533 1.37414032515373
-6.0 -3.1785616964022156 1.310099096213592
-6.0 -2.927343002415972 1.2423860881675386
-6.0 -2.7419507454866716 1.1896638775262727
-6.0 -2.563328125762034 1.0477912694298412
-6.0 -2.4432104591197934 1.0185825856905173
-6.0 -2.311711042237 0.8805925366924849
-6.0 -2.209810373123425 1.1557406654228384
-6.0 -1.8754861641901217 0.9875596718399936
-6.0 -1.6145294115842252 1.2256221773477978
-6.0 -1.595145467820642 0.8478574555103883
-6.0 -1.4848448328450574 1.1053828081078438
-6.0 -1.4646395593683557 0.9337428948381938
-6.0 -1.4258790557089887 0.9925521329294014
-6.0 -1.335455506538226 0.8598326140633173
-6.0 -1.3349025581775815 0.8376789065695768
-6.0 -1.328454220224634 0.7731598116286237
-6.0 -1.3194708256580756 0.7555977877502056
-5.0 -5.000047975108038 4.103059636953462e-05
-5.0 -4.9999440273618765 0.00039318925265814566
-5.0 -4.993283165970988 0.015775984770112467
-5.0 -4.993351328089637 0.013689931124695241
-5.0 -4.9701620731005 0.06300590168974733
-5.0 -4.949222223391789 0.12528138903838748
-5.0 -4.913890552183996 0.20134981992067716
-5.0 -4.875560228834131 0.28856539205596465
-5.0 -4.848906006664528 0.36873304918932004
-5.0 -4.7992400667507376 0.514850217493076
-5.0 -4.726187058381048 0.6664170500049861
-5.0 -4.476338928580436 0.8591722188818796
-5.0 -4.274505786159334 0.9459789409652544
-5.0 -4.034933068169121 1.0440048333167582
-5.0 -3.889310400852103 1.0524613943412646
-5.0 -3.5960408165158175 1.058099524241242
-5.0 -3.370312384240273 1.0540115813163382
-5.0 -3.080773384109043 0.9889979472573542
-5.0 -2.860767231636061 0.9328904139113148
-5.0 -2.677984661718131 0.8994315128085548
-5.0 -2.503500457204086 0.8065160544483383
-5.0 -2.405473829517438 0.7656674665019333
-5.0 -2.263434185105445 0.6888510067465038
-5.0 -2.1321929692646346 0.8716422231679078
-5.0 -1.8350809638229235 0.7957363877614517
-5.0 -1.665397924760851 1.004314716467375
-5.0 -1.5665935625192102 0.7281606100892957
-5.0 -1.4823143068454805 0.9491164984975112
-5.0 -1.4433757986204208 0.7395502971295108
-5.0 -1.4099314576630004 0.8699879957466896
-5.0 -1.3329930503709335 0.7553158732626278
-5.0 -1.3282269791860701 0.7732254416408044
-5.0 -1.3285357075648423 0.6647283983331875
-5.0 -1.3021968253520384 0.6884306925456145
-4.0 -4.000025000628614 5.722114659261423e-05
-4.0 -3.998874133898995 0.0021575928014665254
-4.0 -3.9996127020641428 0.003358361997066153
-4.0 -3.990804424560515 0.02220151147223463
-4.0 -3.9818850796552683 0.04382769222748896
-4.0 -3.9707020760932394 0.07197806481066688
-4.0 -3.947223048888016 0.12086357058591411
-4.0 -3.9352689020322247 0.15537279365239626
-4.0 -3.9098379368007055 0.22673926825332769
-4.0 -3.887517112807194 0.3026727004067386
-4.0 -3.790677450310327 0.4215081358643179
-4.0 -3.656428904978862 0.5111369304590689
-4.0 -3.5463412840477044 0.5784741040853274
-4.0 -3.4481967891141934 0.6060792565593932
-4.0 -3.2581702028181234 0.6560311890258829
-4.0 -3.1311980007115308 0.6816484287395755
-4.0 -2.9368679458249964 0.6681917133534149
-4.0 -2.74866025262676 0.6307531921567044
-4.0 -2.6054955970482805 0.6128157826654781
-4.0 -2.450267845121264 0.5514580149786624
-4.0 -2.3456856006817657 0.5342184187488288
-4.0 -2.2121842792644713 0.5228240199255753
-4.0 -2.0534545176362693 0.6169383262297453
-4.0 -1.8031912704592301 0.6388788906484767
-4.0 -1.646420375157913 0.7608277615133432
-4.0 -1.5371748900709665 0.6138707721387722
-4.0 -1.5039421668671562 0.7144008495504772
-4.0 -1.4169381001669874 0.7056469202704752
-4.0 -1.3987723893949036 0.7087520087225815
-4.0 -1.3307903642589511 0.7136574549832828
-4.0 -1.3126782371403396 0.672084036470707
-4.0 -1.2984135793189213 0.6001134199058874
-4.0 -1.2750694695045024 0.6360190404149505
-3.25 -3.2500401681415934 3.147787610645328e-05
-3.25 -3.2497602674241657 0.00038436816475590516
-3.25 -3.249989355165211 0.0007549096298827397
-3.25 -3.247395419745062 0.0063568729590147725
-3.25 -3.244501002163831 0.012907126928160163
-3.25 -3.2406769823600254 0.022258243517240518
-3.25 -3.2302013981708946 0.04310466086331262
-3.25 -3.2281735665744447 0.058895864944120954
-3.25 -3.213921710081804 0.08723533827441755
-3.25 -3.207910609703406 0.12067216693091827
-3.25 -3.155836630292162 0.193263960843219
-3.25 -3.1108273166397606 0.23567926183256346
-3.25 -3.0530995719428695 0.2725775710418819
-3.25 -3.0185023646998945 0.3116919899451593
-3.25 -2.9112438252036323 0.3432925904371862
