# FeHinit FeH sigma_FeH
-6.0 -5.9999746214708445 3.255893138154575e-06
-6.0 -5.997260212690193 0.0019260364021727397
-6.0 -5.961802637854779 0.04768363127976777
-6.0 -5.975566719231761 0.03470124389834042
-6.0 -5.917374641814929 0.10405321617579093
-6.0 -5.838719808885424 0.21280339792080064
-6.0 -5.754366931386347 0.3507780969154697
-6.0 -5.654019608093438 0.4125133187015265
-6.0 -5.589105041237869 0.5498614817442997
-6.0 -5.4895760273086935 0.7237411572829913
-6.0 -5.296922424943854 0.8677373553942974
-6.0 -4.963426425299989 1.0955365351970512
-6.0 -4.703614295667051 1.165007836271243
-6.0 -4.390463676175723 1.2106247697347348
-6.0 -4.149672935268383 1.219329813338713
-6.0 -3.86070424324284 1.1944626543731496
-6.0 -3.5767299353633626 1.1473119656220905
-6.0 -3.279540448545771 1.0213039308055096
-6.0 -3.0303128552726313 0.9171710904903744
-6.0 -2.8530749389361887 0.8221083239599791
-6.0 -2.6599840281281755 0.7459007056594291
-6.0 -2.4980867526419526 0.6820939823444848
-6.0 -2.360263299794619 0.6399898542292869
-6.0 -2.0634905716024416 0.6746209877403739
-6.0 -1.8432195586113844 0.663424692504578
-6.0 -1.7196406621342941 0.9298218345031253
-6.0 -1.6103894055666632 0.6785045837591577
-6.0 -1.5254260940790785 0.8978631555270087
-6.0 -1.472438042916722 0.6845693438723885
-6.0 -1.4254850130623378 0.8541106840997367
-6.0 -1.4843654086488587 0.7292171543419133
-6.0 -1.3827950540586642 0.7539938670009407
-6.0 -1.3788370990277992 0.6588440680897472
-6.0 -1.3785618172907617 0.7231561320455473
-5.0 -4.99998780224719 -7.923595505809298e-06
-5.0 -4.999679050436995 0.0002342415838473061
-5.0 -4.986583921475974 0.01239135153921625
-5.0 -4.991374747292669 0.012126439700024853
-5.0 -4.957286705444054 0.055547088114549434
-5.0 -4.909631485228593 0.10489852426366728
-5.0 -4.87051908872432 0.17974745884180215
-5.0 -4.827661546641825 0.2516820591894309
-5.0 -4.78807012346085 0.32663021776128986
-5.0 -4.692133107427244 0.41543720725040023
-5.0 -4.60174130372309 0.5418503834146947
-5.0 -4.373248491272235 0.7263775450061891
-5.0 -4.20372976317393 0.7843545774767685
-5.0 -4.01033691929292 0.8660788129152115
-5.0 -3.8298552943357436 0.8514478408256214
-5.0 -3.6041771871088732 0.894626727436172
-5.0 -3.3992051493343234 0.845069066705421
-5.0 -3.1400430447705032 0.790278935067767
-5.0 -2.918048853303826 0.7129022404246034
-5.0 -2.7613629537912696 0.6455615630370514
-5.0 -2.581611560884554 0.5652025960440552
-5.0 -2.420927002365161 0.5196754547617463
-5.0 -2.2783821262275636 0.49794526494192504
-5.0 -2.027536075449397 0.5532656744242588
-5.0 -1.812927548726465 0.5613180880925538
-5.0 -1.688264420798256 0.7177890934518639
-5.0 -1.575186531253716 0.590845810687509
-5.0 -1.5020162192559827 0.7141510611239548
-5.0 -1.4115211664383516 0.6047657321636729
-5.0 -1.4012709087351893 0.7329932164965698
-5.0 -1.4193634689957968 0.6481288903485605
-5.0 -1.3440053460805983 0.6833386672370526
-5.0 -1.366817748718093 0.6025616859702954
-5.0 -1.338553952965236 0.6495904262226244
-4.0 -3.9999504595172235 1.3658159416435231e-05
-4.0 -3.998462794074711 0.00195434524947863
-4.0 -3.998201560451552 0.00227824844609691
-4.0 -3.9844733250087883 0.01958858415839439
-4.0 -3.971440594660104 0.03824845358122033
-4.0 -3.956180484650823 0.06463114164900388
-4.0 -3.9215481686608777 0.10319478880663152
-4.0 -3.9033471455214643 0.13581246448611026
-4.0 -3.8591874426840453 0.18639148047489765
-4.0 -3.8227490176100036 0.2508778621023719
-4.0 -3.7238591941266694 0.3529477925476453
-4.0 -3.614087893664616 0.4365055036612693
-4.0 -3.5167803469153327 0.47706665505100676
-4.0 -3.3916193935690178 0.5094427820924448
-4.0 -3.246868606716169 0.5321557068788152
-4.0 -3.120388234069098 0.5399427601572804
-4.0 -2.955250106615135 0.5244255695886544
-4.0 -2.776810902399839 0.4936404728779428
-4.0 -2.6360726287104836 0.44477496327323285
-4.0 -2.4884280619438335 0.40341422880245636
-4.0 -2.345006250745822 0.3795742240844098
-4.0 -2.203072288858473 0.36980140394177285
-4.0 -1.9960023628581602 0.42612166490710424
-4.0 -1.7685827037180109 0.46826860510103496
-4.0 -1.6502924245468014 0.53416449080868
-4.0 -1.5251689220460969 0.5112538383311842
-4.0 -1.4418120479617182 0.5385980478741884
-4.0 -1.4125771330302266 0.5525930787176128
-4.0 -1.3578497598897865 0.5602274605280501
-4.0 -1.346256658012959 0.5884881392003442
-4.0 -1.3242251014142572 0.577861076426402
-4.0 -1.307847162225713 0.5484562478063385
-4.0 -1.2983669026853306 0.5974415734646391
-3.25 -3.249965743362832 -1.2150442477904886e-05
-3.25 -3.2496783191640457 0.0003438544181797586
-3.25 -3.249618553609459 0.00047538760248596457
-3.25 -3.2458187382831873 0.005754234814274867
-3.25 -3.2417321400082235 0.011413389290334135
-3.25 -3.23510329493176 0.019369310886562532
-3.25 -3.2222193908394816 0.03805000544904528
-3.25 -3.2160475873915466 0.051777198893230125
-3.25 -3.195150933272106 0.07406168918566325
